track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
2SRiJNA3yILEMOPbETtL6M,0.259,0.585,0.647,-5.872,0.324,92.887,0.167
5OYRVKWII0Eog7CjQRnmGf,0.48,0.766,0.774,-3.84,0.246,180.033,0.831
7qnKyMGK3eccOIIv06l3M9,0.121,0.831,0.76,-8.238,0.0761,114.969,0.962
2QKVCfIDdHf16FkDPFHBHX,0.0462,0.872,0.681,-4.348,0.11,96.986,0.481
540VOu1aQ9TqENgWAC82Rz,0.296,0.752,0.554,-5.214,0.0929,76.01,0.921
2kYpPAekg0r1hHtfmi1f0V,0.478,0.884,0.718,-3.002,0.1,104.053,0.723
4EuHUvcXfXxb0rYBgmN413,0.0401,0.858,0.743,-5.313,0.0845,110.024,0.906
1EOyHhh5uOwNrDhiUNnH2u,0.111,0.714,0.725,-5.548,0.205,89.972,0.589
5SjaZNwy1DpttK1lLk1r3j,0.0633,0.79,0.606,-6.142,0.0463,117.947,0.763
3Rdqhtt2srhdV5n0hPwveI,0.199,0.801,0.79,-4.132,0.0672,97.931,0.638
3LlFkrG9XT36U0dxiD6e0b,0.433,0.783,0.734,-4.796,0.0463,119.986,0.682
5jsIhWqqJ2sw3oNPVPnK9Y,0.276,0.774,0.776,-5.361,0.136,151.958,0.881
7ffrqpG2Q6FaxtSUhgiLhM,0.0734,0.702,0.666,-4.686,0.125,176.18,0.846
6L2vbBkuVeq8Lnl9nigS8k,0.184,0.847,0.609,-3.314,0.0668,93.983,0.551
63TolxqG0C6bNh23Ht4jHf,0.147,0.694,0.83,-3.286,0.103,173.867,0.708
3Z0l8qwMuC376pcutLVsY8,0.0465,0.865,0.785,-4.132,0.12,92.027,0.36
4qdaqybEKlRHZnI6RoDFmt,0.568,0.853,0.531,-6.841,0.202,95.018,0.377
6wTX1zUPc2qdQnDZnVhuoV,0.382,0.657,0.785,-6.04,0.137,179.936,0.569
52BBXEWltdMGJZidf3PF17,0.316,0.655,0.692,-4.697,0.263,102.055,0.496
2x2RrrEVDwCyMF2XnHAHVB,0.396,0.723,0.829,-3.753,0.0795,164.04,0.893
5IpXQFmVvs7EnT90fhduno,0.0537,0.934,0.764,-3.526,0.0629,98.013,0.667
7ABLbnD53cQK00mhcaOUVG,0.0739,0.708,0.737,-4.045,0.0436,91.986,0.607
1CAES9vrn9NdldxARlfSUM,0.0964,0.81,0.635,-6.953,0.0585,126.071,0.252
23d8v6tU6lR77pFKsApMtF,0.572,0.529,0.711,-5.016,0.0669,170.305,0.582
4MjDJD8cW7iVeWInc2Bdyj,0.15,0.787,0.621,-5.009,0.068,139.056,0.13
3nNmRE0DxHC6ZaKkrpUumS,0.0869,0.847,0.724,-5.41,0.298,94.601,0.396
4qSEvFGCpde73gqIuq3sho,0.604,0.801,0.645,-5.605,0.0706,119.935,0.528
1ODFVLQszq0hCOdZtqV5wq,0.188,0.805,0.612,-5.682,0.172,126.013,0.425
4Jc7252S1P99DjQ1lNGEOc,0.371,0.704,0.905,-4.948,0.338,151.823,0.0991
0rDQZJtSGgsB2rdkObpdFa,0.0488,0.834,0.555,-7.902,0.197,125.015,0.563
1YnChEM51BVZ5dRhbVFEMl,0.268,0.706,0.566,-6.441,0.126,125.876,0.23
1U3A66OHQyTu4N2QTMsP86,0.325,0.778,0.555,-5.473,0.231,143.916,0.271
01ppKlDRCmPpusO3yNrSRY,0.407,0.619,0.619,-6.238,0.491,125.752,0.393
3NhstUmrlhaN1M6hP8zMbb,0.504,0.866,0.63,-4.816,0.0616,117.924,0.359
3TYOH7ta0101NYssoH5GlU,0.385,0.822,0.487,-5.815,0.223,134.046,0.193
7ucEkWU0SVy0XFdfXESgfY,0.442,0.751,0.669,-5.367,0.445,93.705,0.69
3mRF0YNsDdFKFnxwg16hSz,0.223,0.785,0.691,-3.119,0.0904,122.92,0.225
5qzLdvRViHUrRNdkpakG7C,0.455,0.785,0.6,-7.793,0.0656,105.009,0.431
39L3LdlHS3gqB62HPWaJRg,0.32,0.914,0.698,-5.228,0.115,99.011,0.757
2sTDlCxmuZCTDKKk9f1qus,0.143,0.651,0.799,-4.02,0.0611,143.992,0.223
4pcafPzLDSqQktqSpxHL3E,0.496,0.552,0.744,-2.656,0.124,156.027,0.627
7iQXYTyuG13aoeHxGG28Nh,0.0887,0.911,0.778,-2.248,0.262,96.057,0.345
6vh4S1z08AjGipGAEsV62e,0.259,0.585,0.647,-5.872,0.324,92.887,0.167
2SRiJNA3yILEMOPbETtL6M,0.48,0.766,0.774,-3.84,0.246,180.033,0.831
5OYRVKWII0Eog7CjQRnmGf,0.121,0.831,0.76,-8.238,0.0761,114.969,0.962
7qnKyMGK3eccOIIv06l3M9,0.0462,0.872,0.681,-4.348,0.11,96.986,0.481
2QKVCfIDdHf16FkDPFHBHX,0.296,0.752,0.554,-5.214,0.0929,76.01,0.921
540VOu1aQ9TqENgWAC82Rz,0.478,0.884,0.718,-3.002,0.1,104.053,0.723
2kYpPAekg0r1hHtfmi1f0V,0.0401,0.858,0.743,-5.313,0.0845,110.024,0.906
4EuHUvcXfXxb0rYBgmN413,0.111,0.714,0.725,-5.548,0.205,89.972,0.589
1EOyHhh5uOwNrDhiUNnH2u,0.0633,0.79,0.606,-6.142,0.0463,117.947,0.763
5SjaZNwy1DpttK1lLk1r3j,0.199,0.801,0.79,-4.132,0.0672,97.931,0.638
3Rdqhtt2srhdV5n0hPwveI,0.433,0.783,0.734,-4.796,0.0463,119.986,0.682
3LlFkrG9XT36U0dxiD6e0b,0.276,0.774,0.776,-5.361,0.136,151.958,0.881
5jsIhWqqJ2sw3oNPVPnK9Y,0.0734,0.702,0.666,-4.686,0.125,176.18,0.846
7ffrqpG2Q6FaxtSUhgiLhM,0.184,0.847,0.609,-3.314,0.0668,93.983,0.551
6L2vbBkuVeq8Lnl9nigS8k,0.147,0.694,0.83,-3.286,0.103,173.867,0.708
63TolxqG0C6bNh23Ht4jHf,0.0465,0.865,0.785,-4.132,0.12,92.027,0.36
3Z0l8qwMuC376pcutLVsY8,0.568,0.853,0.531,-6.841,0.202,95.018,0.377
4qdaqybEKlRHZnI6RoDFmt,0.382,0.657,0.785,-6.04,0.137,179.936,0.569
6wTX1zUPc2qdQnDZnVhuoV,0.316,0.655,0.692,-4.697,0.263,102.055,0.496
52BBXEWltdMGJZidf3PF17,0.396,0.723,0.829,-3.753,0.0795,164.04,0.893
2x2RrrEVDwCyMF2XnHAHVB,0.0537,0.934,0.764,-3.526,0.0629,98.013,0.667
5IpXQFmVvs7EnT90fhduno,0.0739,0.708,0.737,-4.045,0.0436,91.986,0.607
7ABLbnD53cQK00mhcaOUVG,0.0964,0.81,0.635,-6.953,0.0585,126.071,0.252
1CAES9vrn9NdldxARlfSUM,0.572,0.529,0.711,-5.016,0.0669,170.305,0.582
23d8v6tU6lR77pFKsApMtF,0.15,0.787,0.621,-5.009,0.068,139.056,0.13
4MjDJD8cW7iVeWInc2Bdyj,0.0869,0.847,0.724,-5.41,0.298,94.601,0.396
3nNmRE0DxHC6ZaKkrpUumS,0.604,0.801,0.645,-5.605,0.0706,119.935,0.528
4qSEvFGCpde73gqIuq3sho,0.188,0.805,0.612,-5.682,0.172,126.013,0.425
1ODFVLQszq0hCOdZtqV5wq,0.371,0.704,0.905,-4.948,0.338,151.823,0.0991
4Jc7252S1P99DjQ1lNGEOc,0.0488,0.834,0.555,-7.902,0.197,125.015,0.563
0rDQZJtSGgsB2rdkObpdFa,0.268,0.706,0.566,-6.441,0.126,125.876,0.23
1YnChEM51BVZ5dRhbVFEMl,0.325,0.778,0.555,-5.473,0.231,143.916,0.271
1U3A66OHQyTu4N2QTMsP86,0.407,0.619,0.619,-6.238,0.491,125.752,0.393
01ppKlDRCmPpusO3yNrSRY,0.504,0.866,0.63,-4.816,0.0616,117.924,0.359
3NhstUmrlhaN1M6hP8zMbb,0.385,0.822,0.487,-5.815,0.223,134.046,0.193
3TYOH7ta0101NYssoH5GlU,0.442,0.751,0.669,-5.367,0.445,93.705,0.69
7ucEkWU0SVy0XFdfXESgfY,0.223,0.785,0.691,-3.119,0.0904,122.92,0.225
3mRF0YNsDdFKFnxwg16hSz,0.455,0.785,0.6,-7.793,0.0656,105.009,0.431
5qzLdvRViHUrRNdkpakG7C,0.32,0.914,0.698,-5.228,0.115,99.011,0.757
39L3LdlHS3gqB62HPWaJRg,0.143,0.651,0.799,-4.02,0.0611,143.992,0.223
2sTDlCxmuZCTDKKk9f1qus,0.496,0.552,0.744,-2.656,0.124,156.027,0.627
4pcafPzLDSqQktqSpxHL3E,0.0887,0.911,0.778,-2.248,0.262,96.057,0.345
7iQXYTyuG13aoeHxGG28Nh,0.259,0.585,0.647,-5.872,0.324,92.887,0.167
6vh4S1z08AjGipGAEsV62e,0.48,0.766,0.774,-3.84,0.246,180.033,0.831
2SRiJNA3yILEMOPbETtL6M,0.121,0.831,0.76,-8.238,0.0761,114.969,0.962
5OYRVKWII0Eog7CjQRnmGf,0.0462,0.872,0.681,-4.348,0.11,96.986,0.481
7qnKyMGK3eccOIIv06l3M9,0.296,0.752,0.554,-5.214,0.0929,76.01,0.921
2QKVCfIDdHf16FkDPFHBHX,0.478,0.884,0.718,-3.002,0.1,104.053,0.723
540VOu1aQ9TqENgWAC82Rz,0.0401,0.858,0.743,-5.313,0.0845,110.024,0.906
2kYpPAekg0r1hHtfmi1f0V,0.111,0.714,0.725,-5.548,0.205,89.972,0.589
4EuHUvcXfXxb0rYBgmN413,0.0633,0.79,0.606,-6.142,0.0463,117.947,0.763
1EOyHhh5uOwNrDhiUNnH2u,0.199,0.801,0.79,-4.132,0.0672,97.931,0.638
5SjaZNwy1DpttK1lLk1r3j,0.433,0.783,0.734,-4.796,0.0463,119.986,0.682
3Rdqhtt2srhdV5n0hPwveI,0.276,0.774,0.776,-5.361,0.136,151.958,0.881
3LlFkrG9XT36U0dxiD6e0b,0.0734,0.702,0.666,-4.686,0.125,176.18,0.846
5jsIhWqqJ2sw3oNPVPnK9Y,0.184,0.847,0.609,-3.314,0.0668,93.983,0.551
7ffrqpG2Q6FaxtSUhgiLhM,,,,,,,
6L2vbBkuVeq8Lnl9nigS8k,,,,,,,
